Job titles,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain
Public Safety Dispatcher,70%,164,1039,0.157844081,Law Enforcement
Regulatory Analyst,70%,183,1105,0.16561086,Construction
Security Consultant,70%,151,986,0.153144016,Sales & Marketing
Embedded Systems Engineer,70%,119,853,0.13950762,Hospitality
Implementation Analyst,70%,178,1156,0.153979239,Communication & PR
Medical Billing Specialist,70%,124,827,0.149939541,Data & IT
Medical Collector,70%,10,52,0.192307692,Administrative & Clerical
Postal Clerk,70%,10,52,0.192307692,Leadership & Strategy
Distribution Clerk,70%,10,52,0.192307692,Medical & Healthcare
Purchasing Buyer,70%,164,1427,0.114926419,Supply Chain & Logistics
Qa Software Tester,70%,127,918,0.138344227,Law Enforcement
Application Developer,70%,151,1045,0.144497608,Construction
Entry Level Developer,70%,151,1033,0.146176186,Sales & Marketing
Front End Developer,70%,159,1104,0.144021739,Hospitality
Front End Engineer,70%,158,1093,0.144556267,Communication & PR
Front End Web Developer,70%,159,1055,0.1507109,Data & IT
Full Stack Developer,70%,154,1044,0.147509579,Administrative & Clerical
J2Ee Developer,70%,141,983,0.143438454,Leadership & Strategy
Robotics Engineer,70%,111,804,0.138059701,Medical & Healthcare
Appointment Scheduler,70%,165,1212,0.136138614,Supply Chain & Logistics
Desk Clerk,70%,120,765,0.156862745,Law Enforcement
Document Processor,70%,178,1448,0.122928177,Construction
Mailroom Clerk,70%,135,1205,0.112033195,Sales & Marketing
Office Cleaner,70%,64,386,0.165803109,Hospitality
Receiving Clerk,70%,149,1307,0.11400153,Communication & PR
Radiologic Technologist,70%,75,549,0.136612022,Data & IT
Radiology Technologist,70%,75,549,0.136612022,Administrative & Clerical
Ultrasound Technician,70%,76,566,0.134275618,Leadership & Strategy
Ultrasound Technologist,70%,76,566,0.134275618,Medical & Healthcare
Electrical Technician,70%,6,45,0.133333333,Supply Chain & Logistics
Flooring Installer,70%,1,2,0.5,Law Enforcement
Technical Marketing Engineer,70%,244,1576,0.154822335,Construction
Web Content Editor,70%,234,1986,0.117824773,Sales & Marketing
Engineering Project Manager,70%,176,1446,0.121715076,Hospitality
Infrastructure Project Manager,70%,176,1448,0.121546961,Communication & PR
Sap Project Manager,70%,10,52,0.192307692,Data & IT
Software Product Manager,70%,181,1472,0.122961957,Administrative & Clerical
Technical Product Manager,70%,183,1474,0.124151967,Leadership & Strategy
Cashier,70%,97,703,0.137980085,Medical & Healthcare
Mystery Shopper,70%,99,671,0.147540984,Supply Chain & Logistics
Infrastructure Architect,70%,148,1304,0.113496933,Law Enforcement
Actuary,70%,131,1251,0.104716227,Construction
Arabic Linguist,70%,113,859,0.131548312,Sales & Marketing
Game Programmer,70%,152,1318,0.115326252,Hospitality
Mortgage Loan Processor,70%,146,1322,0.110438729,Communication & PR
Computational Linguist,70%,139,912,0.152412281,Data & IT
Bank Teller,70%,113,824,0.137135922,Administrative & Clerical
Credit Analyst,70%,169,1398,0.120886981,Leadership & Strategy
Credit Officer,70%,174,1452,0.119834711,Medical & Healthcare
Credit Risk Analyst,70%,171,1119,0.152815013,Supply Chain & Logistics
Credit Specialist,70%,170,1394,0.12195122,Law Enforcement
Financial Analyst,70%,172,1125,0.152888889,Construction
Financial Specialist,70%,174,1127,0.154392192,Sales & Marketing
Fund Accountant,70%,130,874,0.148741419,Hospitality
Payment Processor,70%,149,1316,0.113221884,Communication & PR
Payroll Processor,70%,145,1302,0.111367127,Data & IT
Tax Examiner,70%,134,896,0.149553571,Administrative & Clerical
Clinical Trial Assistant,70%,136,886,0.153498871,Leadership & Strategy
Cad Drafter,68%,125,948,0.13185654,Medical & Healthcare
Business Manager,68%,164,1072,0.152985075,Supply Chain & Logistics
Inpatient Coder,68%,117,752,0.155585106,Law Enforcement
Assistant Branch Manager,67%,130,861,0.150987224,Construction
Front Desk Attendant,67%,126,886,0.14221219,Sales & Marketing
Front Office Clerk,67%,129,926,0.139308855,Hospitality
Administrative Officer,65%,133,865,0.153757225,Communication & PR
Administrative Specialist,65%,134,866,0.154734411,Data & IT
Branch Office Administrator,65%,130,828,0.157004831,Administrative & Clerical
Help Desk,65%,133,1047,0.127029608,Leadership & Strategy
Order Processor,65%,129,927,0.139158576,Medical & Healthcare
Title Clerk,65%,107,704,0.151988636,Supply Chain & Logistics
Warranty Clerk,65%,116,816,0.142156863,Law Enforcement
Crm Analyst,65%,164,1081,0.151711378,Construction
Sales Operations Analyst,65%,157,1053,0.149097816,Sales & Marketing
Freelance,65%,182,1206,0.150912106,Hospitality
Technology,65%,160,1099,0.145586897,Communication & PR
Analog Design Engineer,65%,134,913,0.146768894,Data & IT
Automation Engineer,65%,141,937,0.150480256,Administrative & Clerical
Medical Claims Processor,65%,140,836,0.167464115,Leadership & Strategy
Logistics Clerk,65%,124,1005,0.123383085,Medical & Healthcare
Shipping,65%,107,711,0.150492264,Supply Chain & Logistics
Executive Producer,65%,182,1302,0.139784946,Law Enforcement
.Net Developer,65%,248,1734,0.143021915,Construction
Abap Developer,65%,242,1696,0.142688679,Sales & Marketing
Asp.Net Developer,65%,245,1752,0.139840183,Hospitality
Associate Software Engineer,65%,245,1753,0.139760411,Communication & PR
C Developer,65%,242,1743,0.138841079,Data & IT
C# Developer,65%,248,1731,0.143269786,Administrative & Clerical
Dot Net Developer,65%,249,1735,0.14351585,Leadership & Strategy
Firmware Engineer,65%,238,1635,0.145565749,Medical & Healthcare
Bookkeeper,65%,141,911,0.154774973,Supply Chain & Logistics
Bookkeeping,65%,139,914,0.152078775,Law Enforcement
Commercial Analyst,65%,157,1039,0.151106833,Construction
Commission Analyst,65%,159,1061,0.149858624,Sales & Marketing
Corporate Financial Analyst,65%,162,1056,0.153409091,Hospitality
Cost Accountant,65%,158,1067,0.148078725,Communication & PR
Derivatives Analyst,65%,161,1059,0.152030217,Data & IT
Energy Analyst,65%,164,1066,0.153846154,Administrative & Clerical
Environmental Analyst,65%,164,1067,0.153701968,Leadership & Strategy
Equity Analyst,65%,162,1066,0.151969981,Medical & Healthcare
Equity Research Analyst,65%,162,1066,0.151969981,Supply Chain & Logistics
Equity Research Associate,65%,163,1067,0.152764761,Law Enforcement
Finance Analyst,65%,168,1242,0.1352657,Construction
Finance Specialist,65%,160,1218,0.13136289,Sales & Marketing
Financial Auditor,65%,154,983,0.156663276,Hospitality
Forensic Accountant,65%,157,996,0.157630522,Communication & PR
Certified Professional Coder,65%,129,798,0.161654135,Data & IT
Junior Java Developer,65%,247,1714,0.144107351,Administrative & Clerical
Junior Software Engineer,65%,243,1716,0.141608392,Leadership & Strategy
Operations Research Analyst,65%,174,1119,0.155495979,Medical & Healthcare
Rpg Programmer,65%,217,1279,0.1696638,Supply Chain & Logistics
Clinical Data Analyst,65%,220,1369,0.160701242,Law Enforcement
Database Administrator,65%,241,1372,0.175655977,Construction
Healthcare Data Analyst,65%,230,1609,0.142945929,Sales & Marketing
Mainframe Programmer,65%,226,1354,0.166912851,Hospitality
Oracle Database Developer,65%,242,1424,0.16994382,Communication & PR
Sql Data Analyst,65%,250,1459,0.17135024,Data & IT
Armored Truck Driver,65%,28,227,0.123348018,Administrative & Clerical
Correctional Officer,65%,37,280,0.132142857,Leadership & Strategy
Deputy Director,65%,122,829,0.147165259,Medical & Healthcare
Forensic Chemist,65%,54,423,0.127659574,Supply Chain & Logistics
Safety Consultant,65%,73,765,0.095424837,Law Enforcement
Security Dispatcher,65%,84,774,0.108527132,Construction
Cad Operator,65%,123,921,0.133550489,Sales & Marketing
Cad Technician,65%,124,922,0.134490239,Hospitality
Game Artist,65%,190,1453,0.130763937,Communication & PR
Radiology Assistant,65%,68,480,0.141666667,Data & IT
Sonographer,65%,57,412,0.138349515,Administrative & Clerical
Ultrasonographer,65%,59,438,0.134703196,Leadership & Strategy
Vascular Sonographer,65%,57,434,0.131336406,Medical & Healthcare
Vascular Technician,65%,57,434,0.131336406,Supply Chain & Logistics
Vascular Technologist,65%,57,434,0.131336406,Law Enforcement
X Ray Technician,65%,59,437,0.135011442,Construction
Cleaner,65%,6,27,0.222222222,Sales & Marketing
Hospital Housekeeping,65%,8,33,0.242424242,Hospitality
Assembly Operator,65%,59,495,0.119191919,Communication & PR
Electronic Assembler,65%,59,497,0.118712274,Data & IT
Line Operator,65%,58,488,0.118852459,Administrative & Clerical
Survey Researcher,65%,165,1079,0.15291937,Leadership & Strategy
Web Content Manager,65%,322,2266,0.142100618,Medical & Healthcare
Electrical Drafter,65%,123,920,0.133695652,Supply Chain & Logistics
Structural Designer,65%,130,965,0.134715026,Law Enforcement
Medical Biller,65%,137,832,0.164663462,Construction
Sales Associate,65%,169,1197,0.141186299,Sales & Marketing
Business Banking Relationship Manager,65%,166,1126,0.147424512,Hospitality
Janitor,65%,9,138,0.065217391,Communication & PR
Autocad Drafter,65%,162,1598,0.101376721,Data & IT
Assistant Director,65%,135,989,0.136501517,Administrative & Clerical
Executive Personal Assistant,65%,128,1018,0.125736739,Leadership & Strategy
Pricing Specialist,65%,164,1163,0.141014617,Medical & Healthcare
Ticket Agent,64%,93,834,0.111510791,Supply Chain & Logistics
Contract Specialist,63%,162,1161,0.139534884,Law Enforcement
Freelancer,63%,120,974,0.123203285,Construction
Requirements Analyst,62%,180,1595,0.112852665,Sales & Marketing
Seo Consultant,61%,166,1338,0.12406577,Hospitality
Seo Manager,60%,166,1334,0.124437781,Communication & PR
Seo Specialist,60%,168,1356,0.123893805,Data & IT
Creative Project Manager,60%,169,1604,0.105361596,Administrative & Clerical
Erp Project Manager,60%,162,1497,0.108216433,Leadership & Strategy
Healthcare Project Manager,60%,169,1539,0.109811566,Medical & Healthcare
Product Manager,60%,195,1732,0.112586605,Supply Chain & Logistics
Project Consultant,60%,183,1636,0.111858191,Law Enforcement
Project Manager,60%,190,1686,0.112692764,Construction
Customer Assistant,60%,167,1340,0.124626866,Sales & Marketing
Drafter,60%,165,1622,0.101726264,Hospitality
Junior Architect,60%,148,1581,0.093611638,Communication & PR
Space Planner,60%,162,1553,0.104314231,Data & IT
Truss Designer,60%,160,1521,0.105193951,Administrative & Clerical
Urban Planner,60%,164,1559,0.105195638,Leadership & Strategy
Insurance Sales,60%,135,1031,0.130940834,Medical & Healthcare
Insurance Sales Representative,60%,135,1031,0.130940834,Supply Chain & Logistics
Life Insurance Agent,60%,133,1025,0.129756098,Law Enforcement
Java Software Engineer,60%,110,796,0.138190955,Construction
Java Web Developer,60%,110,796,0.138190955,Sales & Marketing
Junior Developer,60%,114,810,0.140740741,Hospitality
Performance Analyst,60%,176,1339,0.131441374,Communication & PR
Risk Management Analyst,60%,197,1658,0.118817853,Data & IT
Salesforce Business Analyst,60%,208,1694,0.122786305,Administrative & Clerical
Data Analyst,60%,217,1405,0.154448399,Leadership & Strategy
Database Architect,60%,170,1564,0.108695652,Medical & Healthcare
Health Data Analyst,60%,206,1372,0.150145773,Supply Chain & Logistics
Sql Dba,60%,147,1447,0.101589496,Law Enforcement
Sql Server Dba,60%,148,1455,0.101718213,Construction
Shipping Clerk,60%,141,1102,0.127949183,Sales & Marketing
Timekeeper,60%,97,843,0.115065243,Hospitality
Administration,60%,108,879,0.122866894,Communication & PR
Administrative Director,60%,120,937,0.128068303,Data & IT
Assistant Administrator,60%,119,926,0.128509719,Administrative & Clerical
Compliance Analyst,60%,187,1309,0.142857143,Leadership & Strategy
Front Desk Coordinator,60%,105,855,0.122807018,Medical & Healthcare
Office Clerk,60%,98,822,0.119221411,Supply Chain & Logistics
Operations Clerk,60%,108,890,0.121348315,Law Enforcement
Procurement Clerk,60%,115,907,0.126791621,Construction
Receiver,60%,50,311,0.160771704,Sales & Marketing
Registration Clerk,60%,85,710,0.11971831,Hospitality
Registration Specialist,60%,90,756,0.119047619,Communication & PR
Unit Secretary,60%,96,834,0.115107914,Data & IT
Healthcare Business Analyst,60%,206,1671,0.123279473,Administrative & Clerical
Surgery Scheduler,60%,81,815,0.099386503,Leadership & Strategy
Post Office,60%,73,516,0.141472868,Medical & Healthcare
Demand Planner,60%,154,1120,0.1375,Supply Chain & Logistics
Logistics Coordinator,60%,158,1201,0.131557036,Law Enforcement
Procurement Agent,60%,156,1123,0.138913624,Construction
Purchasing Coordinator,60%,158,1201,0.131557036,Sales & Marketing
Shipping Coordinator,60%,160,1175,0.136170213,Hospitality
Supply Chain Coordinator,60%,157,1200,0.130833333,Communication & PR
Supply Coordinator,60%,156,1196,0.130434783,Data & IT
Assignment Editor,60%,148,1187,0.124684078,Administrative & Clerical
Front Desk Agent,60%,108,878,0.123006834,Leadership & Strategy
Radio Operator,60%,124,890,0.139325843,Medical & Healthcare
Manual Qa Tester,60%,121,1053,0.114909782,Supply Chain & Logistics
Manual Tester,60%,121,1016,0.119094488,Law Enforcement
Coldfusion Developer,60%,108,735,0.146938776,Construction
Computer Scientist,60%,118,779,0.151476252,Sales & Marketing
Drupal Developer,60%,108,776,0.139175258,Hospitality
Java,60%,103,740,0.139189189,Communication & PR
Java Developer,60%,109,769,0.141742523,Data & IT
Java Engineer,60%,110,796,0.138190955,Administrative & Clerical
Java Programmer,60%,110,796,0.138190955,Leadership & Strategy
Java Software Developer,60%,110,796,0.138190955,Medical & Healthcare
Home Inspector,60%,69,521,0.13243762,Supply Chain & Logistics
Biomedical Engineer,60%,102,732,0.139344262,Law Enforcement
Biotechnology,60%,97,694,0.139769452,Construction
Environmental Engineer,60%,115,757,0.151915456,Sales & Marketing
Industrial Organizational Psychologist,60%,90,685,0.131386861,Hospitality
Accounts Payable,60%,154,1154,0.133448873,Communication & PR
Auditor,60%,162,1260,0.128571429,Data & IT
Budget Analyst,60%,165,1165,0.141630901,Administrative & Clerical
Collection Agent,60%,173,1283,0.134840218,Leadership & Strategy
Collection Representative,60%,181,1646,0.109963548,Medical & Healthcare
Collection Specialist,60%,184,1663,0.110643416,Supply Chain & Logistics
Collections Specialist,60%,184,1663,0.110643416,Law Enforcement
Compliance Auditor,60%,190,1329,0.142964635,Construction
Cost Controller,60%,195,1655,0.117824773,Sales & Marketing
Credit Controller,60%,192,1647,0.116575592,Hospitality
Debt Collector,60%,182,1357,0.134119381,Communication & PR
Exchange Engineer,60%,149,1158,0.128670121,Data & IT
Financial Engineer,60%,192,1635,0.117431193,Administrative & Clerical
Financial Examiner,60%,192,1325,0.14490566,Leadership & Strategy
Loan Closer,60%,178,1593,0.111738858,Medical & Healthcare
Mortgage Closer,60%,149,1193,0.124895222,Supply Chain & Logistics
Mortgage Loan Closer,60%,149,1193,0.124895222,Law Enforcement
Processor,60%,131,1133,0.115622242,Construction
Trader,60%,161,1479,0.108857336,Sales & Marketing
Treasury Accountant,60%,183,1563,0.117082534,Hospitality
Clinical Analyst,60%,201,1666,0.120648259,Communication & PR
Meter Reader,60%,28,240,0.116666667,Data & IT
Gas Station Attendant,60%,28,239,0.117154812,Administrative & Clerical
Lactation Consultant,60%,72,540,0.133333333,Leadership & Strategy
Ticket Taker,60%,54,349,0.154727794,Medical & Healthcare
Usher,60%,52,355,0.146478873,Supply Chain & Logistics
911 Dispatcher,60%,133,1008,0.131944444,Law Enforcement
911 Operator,60%,133,1007,0.132075472,Construction
Fingerprint Technician,60%,116,1076,0.107806691,Sales & Marketing
Forensic Examiner,60%,125,1385,0.090252708,Hospitality
Forensic Scientist,60%,129,1396,0.092406877,Communication & PR
Intelligence,60%,148,1439,0.102849201,Data & IT
Military Analyst,60%,168,1517,0.110744891,Administrative & Clerical
Safety Coordinator,60%,1,2,0.5,Leadership & Strategy
Security Technician,60%,117,854,0.137002342,Medical & Healthcare
Skip Tracer,60%,103,745,0.138255034,Supply Chain & Logistics
Information Analyst,60%,155,1192,0.130033557,Law Enforcement
Information Specialist,60%,153,1186,0.129005059,Construction
Network Systems Administrator,60%,126,1371,0.09190372,Sales & Marketing
Senior Systems Engineer,60%,129,1344,0.095982143,Hospitality
Software Engineer,60%,133,1342,0.099105812,Communication & PR
Systems Administrator,60%,132,1398,0.094420601,Data & IT
Systems Analyst,60%,168,1558,0.107830552,Administrative & Clerical
Unix Administrator,60%,125,1355,0.092250923,Leadership & Strategy
Unix System Administrator,60%,121,1340,0.090298507,Medical & Healthcare
Vmware Administrator,60%,125,1355,0.092250923,Supply Chain & Logistics
Windows Administrator,60%,121,812,0.149014778,Law Enforcement
Windows System Administrator,60%,121,812,0.149014778,Construction
Registered Dental Assistant,60%,42,360,0.116666667,Sales & Marketing
Registered Medical Assistant,60%,43,364,0.118131868,Hospitality
Surgical Assistant,60%,44,375,0.117333333,Communication & PR
Carpet Cleaner,60%,6,133,0.045112782,Data & IT
Custodian,60%,8,151,0.052980132,Administrative & Clerical
General Laborer,60%,9,138,0.065217391,Leadership & Strategy
Housekeeping Attendant,60%,9,138,0.065217391,Medical & Healthcare
Assembly Line Worker,60%,39,315,0.123809524,Supply Chain & Logistics
Assembly Worker,60%,37,303,0.122112211,Law Enforcement
Forklift,60%,22,166,0.13253012,Construction
Master Control Operator,60%,120,1201,0.099916736,Sales & Marketing
Curriculum Designer,60%,170,1325,0.128301887,Hospitality
Curriculum Specialist,60%,164,1213,0.135201979,Communication & PR
Epic Trainer,60%,109,900,0.121111111,Data & IT
Virtual Teacher,60%,121,1037,0.116682739,Administrative & Clerical
3D Modeler,60%,204,1735,0.117579251,Leadership & Strategy
Compositor,60%,193,1696,0.11379717,Medical & Healthcare
Fx Artist,60%,190,1638,0.115995116,Supply Chain & Logistics
Game Developer,60%,211,1781,0.118472768,Law Enforcement
Accessioner,60%,46,410,0.112195122,Construction
Autopsy Assistant,60%,37,347,0.106628242,Sales & Marketing
Certified Surgical Technologist,60%,43,378,0.113756614,Hospitality
Contact Tracing,60%,94,604,0.155629139,Communication & PR
Director Of Nursing,60%,72,622,0.115755627,Data & IT
Design Engineer,60%,143,1047,0.136580707,Administrative & Clerical
Business Management Consultant,60%,143,984,0.145325203,Leadership & Strategy
General Labor,60%,19,409,0.046454768,Medical & Healthcare
General Worker,60%,19,409,0.046454768,Supply Chain & Logistics
Tax Analyst,60%,161,1162,0.138554217,Law Enforcement
Appointment Setter,60%,116,1026,0.113060429,Construction
Survey Technician,60%,101,809,0.124845488,Sales & Marketing
Accountant,60%,117,966,0.121118012,Hospitality
Claims Auditor,60%,127,947,0.134107709,Communication & PR
Loan Underwriter,60%,121,949,0.127502634,Data & IT
Tax Accountant,60%,130,1026,0.126705653,Administrative & Clerical
Coding Specialist,60%,138,1094,0.126142596,Leadership & Strategy
